Qty,Item,Notes,Cost (USD),URL
5,1206 220nF SMD Capacitor,C107186,0.5,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC1206KKX7R9BB224_C107186.html
5,1206 Green SMD LED,C965825,0.44,https://lcsc.com/product-detail/LED-Indication-Discrete_XINGLIGHT-XL-3216UGC_C965825.html
5,1206 47? SMD Resistor,C140015,0.21,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-RS-06K470JT_C140015.html
5,NXP NT3H2111W0FTTJ IC,C2654884,0.7,https://lcsc.com/product-detail/RFID-ICs_NXP-NT3H2111W0FTTJ_C2654884.html
5,PCB,JLCPCB,3.51,https://JLCPCB.com
1,Solder Paste,Manual soldering,8.57,https://www.amazon.co.uk/gp/product/B0D4QTT6S3
1,LCSC Shipping Cost + Fees,5.58(Shipping) + 3(Handling),8.58,
,,Total,22.51,
